,tconst,startYear,runtimeMinutes,directors,writers,nconst,title,distributor,domestic_revenue,opening_revenue,opening_theaters,budget,mpaa,genres,release_date
2458,tt1454468,2013,91,nm0190859,"nm0190859,nm0190861","nm0002747,nm0000113,nm0000123,nm0000438,nm1241511,nm0190859,nm0190861,nm0382268,nm1888527,nm0523881",Gravity,Warner Bros.,"$274,092,705","$55,785,112","3,575","$100,000,000",PG-13,"Adventure,Drama,Sci-Fi,Thriller","Oct 4, 2013"
2459,tt1457767,2013,112,nm1490123,"nm0370937,nm0370928","nm0755911,nm0933940,nm0267812,nm0515296,nm0000666,nm1490123,nm0370937,nm0370928,nm0184620,nm0220533",The Conjuring,Warner Bros.,"$137,400,141","$41,855,326","2,903","$20,000,000",R,"Horror,Mystery,Thriller","Jul 19, 2013"
2460,tt1458169,2017,95,nm1060986,nm1029878,"nm1857184,nm0000932,nm6179030,nm0569341,nm0854702,nm1060986,nm1029878,nm4498658,nm0225146,nm0326063",Kidnap,Aviron Pictures,"$30,971,040","$10,016,323","2,378","$21,000,000",R,"Action,Crime,Drama,Thriller","Aug 4, 2017"
2461,tt1458175,2010,133,nm0353673,"nm0353673,nm0146991,nm3280198","nm0637602,nm0000128,nm0006969,nm0000553,nm0119633,nm0353673,nm0146991,nm3280198,nm0216635,nm0592945",The Next Three Days,Lionsgate,"$21,148,651","$6,542,779","2,564","$30,000,000",PG-13,"Action,Crime,Drama,Romance,Thriller","Nov 19, 2010"
2462,tt1462041,2011,84,nm0006487,nm0521649,"nm0732708,nm0185819,nm0001838,nm0915208,nm0000480,nm0006487,nm0521649,nm0090394,nm0472567,nm1084360",Dream House,Universal Pictures,"$21,302,340","$8,129,355","2,661","$50,000,000",PG-13,"Drama,Mystery,Thriller","Sep 30, 2011"
2463,tt1462054,2010,110,"nm1117098,nm3459865","nm3459865,nm0194959,nm3419394,nm0235004","nm0206175,nm1921310,nm1378502,nm0001477,nm2095535,nm1117098,nm3459865,nm0194959,nm3419394,nm0235004",Letters to God,Vivendi Entertainment,"$2,848,578","$1,088,873",897,"$3,000,000",PG,"Drama,Family","Apr 9, 2010"
2464,tt1469304,2017,116,nm1164861,"nm0075276,nm0777209,nm0093748,nm0771065,nm0740115,nm0502073,nm0304830,nm1226735,nm1226737","nm0740115,nm0425005,nm1374980,nm1275259,nm1231899,nm1164861,nm0075276,nm0777209,nm0093748,nm0771065",Baywatch,Paramount Pictures,"$58,060,186","$18,503,871","3,647","$69,000,000",R,"Action,Comedy,Crime","May 25, 2017"
2465,tt1470020,2010,95,nm0005522,"nm0801133,nm3607087","nm0386640,nm0543383,nm0000580,nm0003817,nm0000643,nm0005522,nm0801133,nm3607087,nm0050276,nm0705476",Redemption Road,Freestyle Releasing,"$29,384","$19,152",26,"$2,300,000",PG-13,Drama,"Aug 26, 2011"
2466,tt1470023,2010,90,nm1672246,"nm0287182,nm1231253,nm1672246","nm1060930,nm0287182,nm1325419,nm0000174,nm0000202,nm1672246,nm1231253,nm0326415,nm0584427,nm2595269",MacGruber,Universal Pictures,"$8,525,600","$4,043,495","2,551","$10,000,000",R,"Action,Comedy","May 21, 2010"
2467,tt1470827,2010,94,nm2284484,nm2284484,"nm1058940,nm2016345,nm4620252,nm0420121,nm2284484,nm0629242,nm0724597,nm2096445,nm0332148",Monsters,Magnolia Pictures,"$237,301","$20,508",3,"$500,000",R,"Adventure,Drama,Romance,Sci-Fi,Thriller","Oct 29, 2010"
