,distributor,mpaa,budget,opening_revenue,opening_theaters,runtime_minutes,release_year,release_month,release_date,release_day,genre_crime,genre_drama,genre_adventure,genre_thriller,genre_horror,genre_action,genre_fantasy,genre_sci-fi,genre_comedy,genre_war,genre_mystery,genre_biography,genre_history,genre_romance,genre_family,genre_musical,genre_sport,genre_music,genre_animation,genre_western,genre_documentary,genre_news,director_power,actor_power
23,Paramount Pictures,R,45284052.95315682,1407958.455580448,303,105,1982,10,1982-10-08,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2521152.355417515,2521152.3554175156
24,Orion Pictures,R,39956517.311608955,17692759.18441955,901,93,1982,10,1982-10-22,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125764214.4004888,190570954.8203845
25,Columbia Pictures,PG,56283012.295081966,14849254.33954918,943,116,1982,12,1982-12-17,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,474921418.0327869,534040798.4107508
26,Paramount Pictures,R,8015791.62410623,33185.37732379979,1,105,1983,3,1983-03-04,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4990610.489724208,4990610.489724208
27,New World Pictures,R,2122369.1683569984,557121.906693712,75,82,1983,4,1983-04-01,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5524036.147363083,5524036.1473630825
28,Atlantic Releasing Corporation,R,928536.5111561867,4925965.780527384,442,99,1983,4,1983-04-29,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,46011891.7735497,46011891.77354969
29,Columbia Pictures,PG,37971580.645161286,18598205.96080645,1338,90,1983,5,1983-05-20,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43451789.468044356,43451789.468044356
30,Twentieth Century Fox,PG,85699747.98387097,60700783.42415322,1002,131,1983,5,1983-05-25,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666041609.9001411,2606605194.604033
31,Warner Bros.,R,16185712.574850298,11161163.546047904,670,99,1983,8,1983-08-05,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,165882086.93826345,165882086.93826345
32,Universal Pictures,R,25899207.920792077,49169.64623762376,1,94,1983,10,1983-10-08,5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,851224543.1300344,6460505.617425742
33,Walt Disney Studios Motion Pictures,PG,20678418.972332016,1140272.6421936757,234,106,1983,11,1983-11-04,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,7754407.114624506,7754407.114624507
34,Paramount Pictures,PG,20678418.972332016,9043740.139980236,260,132,1983,11,1983-11-23,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,280253291.49800396,297848268.1570321
35,Paramount Pictures,PG,20946996.093749996,21858790.73408203,1384,107,1984,2,1984-02-17,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,204451372.32386717,204451372.32386714
36,Metro-Goldwyn-Mayer (MGM),PG,63738304.09356725,1404404.6933333334,344,111,1984,3,1984-03-02,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121815657.49943662,113984239.05597454
37,Paramount Pictures,PG,70834584.13926499,64097987.50502901,1687,118,1984,5,1984-05-23,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3413592267.9604545,1828172864.2834222
38,Columbia Pictures,PG,75674638.37994213,34250722.22644166,1339,105,1984,6,1984-06-08,4,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,578262676.4570684,627902754.7991207
39,Orion Pictures,R,15898621.082621083,9987968.365299145,1005,107,1984,10,1984-10-26,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95320182.7008547,95320182.70085469
40,Orion Pictures,R,144081253.56125355,7213013.104900285,808,129,1984,12,1984-12-14,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,915635622.8700345,65487830.67623762
41,Universal Pictures,PG-13,99366381.76638177,14967287.312079772,915,137,1984,12,1984-12-14,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76824347.97321936,76824347.97321938
42,The Samuel Goldwyn Company,G,4916954.887218044,9157830.93592105,1003,77,1985,3,1985-03-29,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,56384250.86469924,56384250.86469924
43,Cannon Film Distributors,R,4893956.969130028,5468448.789822264,995,95,1985,4,1985-04-19,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10740605.859569691,30490339.317540113
44,Universal Pictures,PG,46104434.13729128,27062089.56400742,1420,116,1985,7,1985-07-03,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,511054942.1473469,511054942.1473469
45,United Film Distribution Company,UNRATED,8492922.077922078,4125133.5807050094,168,101,1985,7,1985-07-19,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12132745.82560297,12132745.825602967
46,Empire Pictures,UNRATED,2165812.3275069,1308458.6724563017,129,104,1985,10,1985-10-18,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4869261.094277829,4869261.094277829
47,TriStar Pictures,PG,119991743.11926606,13552251.44146789,970,107,1985,11,1985-11-27,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,56917581.78313762,86124920.6865472
48,Warner Bros.,PG,67010942.36047575,126255.79515096065,4,126,1985,12,1985-12-25,2,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,858156.4873559012,106453661.17643203
49,Walt Disney Studios Motion Pictures,R,33413759.12408759,13667408.896806568,806,103,1986,1,1986-01-31,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,148295573.39370438,329562417.74338454
50,Cinecom Pictures,UNRATED,7212738.970588235,103310.46452205883,1,117,1986,3,1986-03-07,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,50408976.753750004,50408976.75375001
51,Walt Disney Studios Motion Pictures,G,33444273.972602736,7692720.5109589035,1138,74,1986,7,1986-07-04,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,60526477.15167122,60526477.15167122
52,Cannon Film Distributors,PG-13,95555068.49315068,2473555.225150685,1108,121,1986,7,1986-07-18,4,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3922117.508219178,3922117.5082191783
53,Universal Pictures,PG,88227292.61622606,12089847.904758431,1554,110,1986,8,1986-08-01,4,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,38857622.192051046,134768625.8399422
54,Cannon Film Distributors,UNRATED,11207250.683682771,6730166.257958068,1474,101,1986,8,1986-08-22,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19137863.714712854,22929797.769693553
55,Metro-Goldwyn-Mayer (MGM),PG-13,40536864.17502279,1740426.4181403827,401,97,1986,8,1986-08-29,4,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5521795.720200547,107643690.0240085
56,De Laurentiis Entertainment Group (DEG),R,14242214.156079855,1873822.0057894737,98,120,1986,9,1986-09-19,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,97122418.05213043,36790804.42101192
57,The Samuel Goldwyn Company,R,9486201.269265639,120543.53107887579,2,112,1986,10,1986-10-17,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,6703241.51755213,6703241.51755213
58,Galaxy International,PG,42687905.71169537,3482621.6409791475,1335,105,1986,10,1986-10-31,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,5443893.753399818,5443893.753399818
59,Orion Pictures,R,14203547.511312217,570698.5390045248,6,120,1986,12,1986-12-19,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,327937576.95773757,327937576.9577375
60,TriStar Pictures,NC-17,39668991.971454054,8607520.219643176,815,113,1987,3,1987-03-06,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,40102158.69602141,44953734.07490499
61,The Samuel Goldwyn Company,R,233347.01159678856,223236.08558429973,15,78,1987,3,1987-03-20,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12200821.517341658,12200821.517341658
62,Columbia Pictures,PG-13,127206100.79575597,10018791.816923076,1139,107,1987,5,1987-05-15,4,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,33247467.695331566,231126986.91100252
63,Twentieth Century Fox,R,34570308.37004405,27729162.390449338,1623,107,1987,6,1987-06-12,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137671754.33423787,163633632.95987368
64,Warner Bros.,R,69140616.7400881,5110199.116070484,215,116,1987,6,1987-06-26,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,247599756.9147976,106839943.64257266
65,Metro-Goldwyn-Mayer (MGM),R,16090281.195079084,14419.190562390157,18,109,1987,7,1987-07-10,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,68533.10483304042,68533.1048330404
66,Orion Pictures,R,29881950.79086116,18408938.986133568,1580,102,1987,7,1987-07-17,4,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122802591.4353427,138274244.45051125
67,Warner Bros.,PG,39076397.188049205,13063290.149420034,1511,90,1987,7,1987-07-24,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36044574.46080843,539159198.4921668
68,Vestron Pictures,PG-13,13719335.664335664,8917568.181818182,975,100,1987,8,1987-08-21,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,145073701.89094406,145073701.89094403
69,De Laurentiis Entertainment Group (DEG),R,11343538.594969645,1442419.411951431,262,94,1987,10,1987-10-02,4,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7643972.798560278,40294256.50345005
70,TriStar Pictures,R,61202027.72963604,18400196.96386482,1692,101,1987,11,1987-11-13,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86412967.67859618,119697530.11218083
71,Walt Disney Studios Motion Pictures,PG,24934159.44540728,23538735.079237435,1006,102,1987,11,1987-11-25,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,380316109.86759096,380316109.86759096
72,Columbia Pictures,R,11839321.9470538,54813.82678052946,1,107,1988,4,1988-04-22,4,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6941754.104884714,9433732.301616402
73,TriStar Pictures,R,35741349.27412468,4538432.063159693,1023,102,1988,4,1988-04-29,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10263244.603450043,40282606.3810511
74,New World Pictures,R,8904919.14893617,142015.65058723403,42,102,1988,5,1988-05-06,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769616.5423659574,1465225.270119933
75,TriStar Pictures,R,140252476.59574467,29017208.88949787,2562,102,1988,5,1988-05-25,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119583293.24767658,246997193.26500937
76,New Line Cinema,R,1108398.3050847456,99773.58183050847,21,93,1988,6,1988-06-03,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,828512.2154745762,828512.2154745762
77,Walt Disney Studios Motion Pictures,PG,155175762.71186438,24886288.56015254,1045,104,1988,6,1988-06-24,4,1,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,857878025.6163299,474821013.5014292
78,Twentieth Century Fox,R,61808405.06329114,1328551.799848101,21,132,1988,7,1988-07-15,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320909066.77190876,230838437.98299184
79,Island Pictures,R,10917445.742904842,42150.07452420701,2,91,1988,9,1988-09-09,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,936777.9824373956,442581098.95216554
80,Galaxy International,R,10881114.808652246,14866323.10732113,1679,88,1988,10,1988-10-21,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38668776.98480865,38668776.98480865
81,Vestron Pictures,R,5440557.404326123,48214.2197171381,2,93,1988,10,1988-10-21,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2588214.6117304494,2588214.6117304494
82,Universal Pictures,PG,32562074.688796677,24258702.22705394,1396,107,1988,12,1988-12-09,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,821259086.4970353,429856212.9773633
83,Metro-Goldwyn-Mayer (MGM),R,54270124.481327794,15208049.688448131,1248,133,1988,12,1988-12-16,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375170314.83958507,471463310.93478256
84,Vestron Pictures,R,6480148.637489678,600390.0913625103,94,81,1989,1,1989-01-27,4,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1880392.2512303882,1880392.2512303884
85,Columbia Pictures,PG,99734821.422731,1277752.140637776,46,126,1989,3,1989-03-10,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17288630.25826656,18208929.544966653
86,Paramount Pictures,PG-13,101421130.85621971,62025404.71100162,2327,127,1989,5,1989-05-24,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3830204508.324687,1270813619.9858572
87,Warner Bros.,PG-13,73774133.76309428,85345598.21250604,2194,126,1989,6,1989-06-23,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529464150.82810634,599633001.6231445
88,Avenue Pictures Productions,R,5206648.089171975,53743.02157643312,1,101,1989,10,1989-10-06,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9849628.621528663,10926379.557766287
89,Galaxy International,R,10413296.17834395,10607874.865414012,1483,96,1989,10,1989-10-13,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24246847.81710191,47448114.007987104
90,Interstar,R,8330636.942675159,137482.58412420383,221,94,1989,10,1989-10-27,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,590837.9292038217,590837.9292038217
91,The Samuel Goldwyn Company,PG-13,18699269.261318505,134911.07232724383,3,137,1989,11,1989-11-08,2,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,21111680.687990468,21111680.687990468
92,Universal Pictures,PG,83107863.3836378,57832944.14416203,1865,108,1989,11,1989-11-22,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1103981190.2165205,741603424.434553
93,Paramount Pictures,PG-13,41488025.376685165,4247606.270103092,1239,106,1989,12,1989-12-15,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32636633.143756844,33302015.88824264
94,Warner Bros.,R,331904.20301348134,166476.92502775573,4,91,1989,12,1989-12-22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13911698.288469467,13911698.288469467
95,Paramount Pictures,PG,60974825.17482518,34881329.62680653,1225,135,1990,3,1990-03-02,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568899052.6400206,337156287.1324478
96,Walt Disney Studios Motion Pictures,R,28454918.414918415,22927735.46979021,1325,119,1990,3,1990-03-23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,362609700.04643357,370661085.0139335
97,New Line Cinema,PG,27438671.32867133,51622032.9183683,2006,93,1990,3,1990-03-30,4,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,274927183.9745921,274927183.9745921
98,Universal Pictures,PG,80985139.31888546,38649438.99682663,2019,118,1990,5,1990-05-25,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1281596953.5006227,819717221.6012068
99,Sony Pictures Entertainment (SPE),R,130891685.91224018,51417677.5473441,2060,113,1990,6,1990-06-01,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,363230159.0787607,425728353.9970337
100,Walt Disney Studios Motion Pictures,PG,94644757.50577366,45397084.88993071,2332,105,1990,6,1990-06-15,4,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,321276913.18078506,430754645.0185162
101,Twentieth Century Fox,R,140419785.27607363,43619723.26458589,2507,124,1990,7,1990-07-06,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236556395.66931382,353917141.9463301
102,Paramount Pictures,PG-13,44131932.51533742,24456191.842638038,1101,127,1990,7,1990-07-13,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,436567732.2553068,470309467.839625
103,New Line Cinema,PG-13,457172.18844984804,92752.28621580548,1,98,1990,8,1990-08-03,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5840291.223829787,5840291.223829787
104,Orion Pictures,PG-13,43010493.2735426,1169605.8488340806,14,181,1990,11,1990-11-09,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,360132428.08322865,371606728.297901
105,Twentieth Century Fox,PG,35190403.58744394,33395687.139417037,1202,103,1990,11,1990-11-16,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,558669637.2677578,1235238080.6275585
106,Universal Pictures,R,78200896.86098653,4252877.574887892,824,144,1990,12,1990-12-14,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,492991963.97807837,27202560.213260047
107,Universal Pictures,PG-13,29325336.322869953,15480962.346188338,1833,111,1990,12,1990-12-22,5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1000060917.1578424,312606644.39365274
108,Warner Bros.,R,91886053.81165919,8242497.695560537,1373,125,1990,12,1990-12-22,5,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,30676632.180448428,99334539.29597582
109,Paramount Pictures,R,105571210.76233183,12487258.01735426,1820,162,1990,12,1990-12-25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045969268.8347878,491431055.9172045
110,Universal Pictures,R,11660416.047548292,13787571.331827639,1462,108,1991,1,1991-01-11,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46793630.50573552,47465742.57109789
111,Walt Disney Studios Motion Pictures,PG,27207637.444279347,10962174.787399704,1108,107,1991,1,1991-01-18,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,709451365.1760257,67617120.20148589
