,distributor,mpaa,budget,opening_revenue,opening_theaters,runtime_minutes,release_year,release_month,release_date,release_day,genre_crime,genre_drama,genre_adventure,genre_thriller,genre_horror,genre_action,genre_fantasy,genre_sci-fi,genre_comedy,genre_war,genre_mystery,genre_biography,genre_history,genre_romance,genre_family,genre_musical,genre_sport,genre_music,genre_animation,genre_western,genre_documentary,genre_news,director_power,actor_power
706,Dimension Films,PG-13,53105394.431554526,10634658.694315545,1983,94,2000,6,2000-06-16,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,133963117.84313223,73980421.2776303
707,Paramount Pictures,R,69795661.25290023,32947735.299153134,2337,99,2000,6,2000-06-16,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217158701.8439891,554551796.8684225
708,Twentieth Century Fox,R,77382146.17169374,36732826.83915313,3019,116,2000,6,2000-06-23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,642521189.7684846,387337298.3806008
709,DreamWorks Distribution,G,68278364.26914153,26562046.799791183,2491,84,2000,6,2000-06-23,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,162099761.71837586,399391249.1048167
710,Sony Pictures Entertainment (SPE),R,166902668.21345708,34008254.57784223,3061,165,2000,6,2000-06-28,2,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,901098376.5772678,1513899862.1504397
711,Warner Bros.,PG-13,212421577.7262181,62702361.58030163,3407,130,2000,6,2000-06-30,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744314078.4625831,685565187.2364494
712,Universal Pictures,PG,115314570.76566125,10339271.317517402,2460,92,2000,6,2000-06-30,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,39458552.24617169,413057280.71107435
713,Miramax,R,28761909.72222222,64103740.56920138,2912,88,2000,7,2000-07-07,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,237694130.42663193,237694130.42663193
714,Walt Disney Studios Motion Pictures,PG,98396006.94444443,19206485.778541666,2167,104,2000,7,2000-07-07,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,422383238.3489493,575345328.1813607
715,Twentieth Century Fox,PG-13,113533854.16666666,82458086.65190971,3025,104,2000,7,2000-07-14,4,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278050768.26081455,448929182.55260557
716,Warner Bros.,PG-13,36330833.33333333,2279080.1023263885,1357,105,2000,7,2000-07-21,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7992836.31579861,29690772.323666133
717,DreamWorks Distribution,PG-13,151378472.2222222,44963885.53899305,2813,130,2000,7,2000-07-21,4,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2722563026.2921004,1535262559.047997
718,Warner Bros.,G,45413541.666666664,29633256.318611108,2752,84,2000,7,2000-07-21,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,199510747.06182486,119549035.20697995
719,Sony Pictures Entertainment (SPE),PG-13,30275694.44444444,9095743.533576388,2016,98,2000,7,2000-07-21,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,23643237.420902774,53038595.200092174
720,Universal Pictures,PG-13,127157916.66666666,64364355.26076388,3242,106,2000,7,2000-07-28,4,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,277529894.22516906,401661536.7261856
721,Warner Bros.,PG-13,98396006.94444443,27390081.67611111,2805,130,2000,8,2000-08-04,4,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326674743.69928193,412283622.260857
722,Walt Disney Studios Motion Pictures,PG-13,68120312.49999999,26217664.49145833,2653,100,2000,8,2000-08-04,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,92017325.33309026,311167830.932608
723,Fine Line Features,R,15137847.22222222,435140.4459722222,30,93,2000,8,2000-08-04,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18435781.645625,33102608.375923384
724,Sony Pictures Entertainment (SPE),R,143809548.6111111,39985693.97368055,2956,112,2000,8,2000-08-04,4,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,818656271.7721428,565502897.6898968
725,Warner Bros.,PG-13,75689236.1111111,16710993.498541664,2754,118,2000,8,2000-08-11,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,67722276.43135417,423185255.64590615
726,Paramount Pictures,R,98396006.94444443,14250291.019027777,2524,107,2000,8,2000-08-11,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,424985510.637828,334987801.16411006
727,Metro-Goldwyn-Mayer (MGM),PG-13,98396006.94444443,16631961.825763887,2255,103,2000,8,2000-08-11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,57163410.00885416,266904094.8580934
728,New Line Cinema,R,49954895.83333333,26514015.098958332,2411,107,2000,8,2000-08-18,4,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92846561.46607637,343077501.0678687
729,Sony Pictures Entertainment (SPE),PG,19679201.388888888,6672339.195833333,2111,99,2000,8,2000-08-18,4,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15194447.63298611,15194447.632986112
730,Paramount Pictures,R,19679201.388888888,16733122.003611108,847,115,2000,8,2000-08-18,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,150544131.60279393,82432255.36039618
731,Warner Bros.,R,90827083.33333333,15760002.146562498,2630,117,2000,8,2000-08-25,4,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45729315.645937495,177844834.31554943
732,Walt Disney Studios Motion Pictures,PG-13,57523819.44444444,6133736.105451388,1510,88,2000,8,2000-08-25,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19714131.971354164,257985469.48015082
733,Universal Pictures,PG-13,16651631.944444442,26282489.29461805,2380,98,2000,8,2000-08-25,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,103511085.52083333,176098219.9397794
734,Miramax,R,37648531.95164076,7631102.922521589,1543,87,2000,9,2000-09-01,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19293905.810915373,28116046.585141055
735,Destination Films,R,4517823.834196892,3285028.679205527,1581,82,2000,9,2000-09-01,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6264694.63357513,6264694.63357513
736,Universal Pictures,R,45178238.34196892,13647284.114507772,2742,97,2000,9,2000-09-08,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,43591902.388773754,231218759.7959667
737,USA Films,R,52707944.73229707,10761381.075993093,1459,110,2000,9,2000-09-08,4,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,37904623.289740935,307246072.5117058
738,Artisan Entertainment,R,12800500.863557858,3239248.0643523317,1515,119,2000,9,2000-09-08,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9119469.865872193,63954421.26713766
739,New Line Cinema,R,19577236.614853196,868657.0480138169,661,86,2000,9,2000-09-08,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1879337.9120207254,1879337.9120207254
740,Walt Disney Studios Motion Pictures,R,31624766.83937824,3015779.932158895,581,112,2000,9,2000-09-15,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,7136690.353402418,181252964.08937076
741,Warner Bros.,R,76803005.18134716,8260977.92148532,2352,119,2000,9,2000-09-15,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23078741.3408981,200470282.41815153
742,DreamWorks Distribution,R,90356476.68393783,3485720.955509499,131,122,2000,9,2000-09-15,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,302912515.08212376,197105297.1612678
743,Sony Pictures Entertainment (SPE),R,21083177.892918825,12808803.117823835,2539,97,2000,9,2000-09-22,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,32330762.652124353,107725217.03405656
744,Fox Searchlight Pictures,R,12047530.224525044,3024217.7211398967,1085,92,2000,9,2000-09-22,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7559992.37537133,23811269.10754592
745,Lionsgate,R,37648531.95164076,165447.22663212437,19,110,2000,9,2000-09-22,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111653484.1733138,571902533.1304553
746,Destination Films,PG-13,21083177.892918825,2122523.333367876,646,112,2000,9,2000-09-29,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4754780.682417963,129112142.26111713
747,Walt Disney Studios Motion Pictures,PG,45178238.34196892,31482953.855164077,1865,113,2000,9,2000-09-29,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,174169263.53530225,462236413.8127343
748,Warner Bros.,PG-13,15059412.780656304,622610.338238342,13,90,2000,9,2000-09-29,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32991704.726508506,52563772.65282019
749,Universal Pictures,PG-13,82683965.51724137,43030690.00344828,2614,108,2000,10,2000-10-06,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,676075741.4493114,464274892.21928245
750,Twentieth Century Fox,PG,7516724.137931035,6364115.672,1823,82,2000,10,2000-10-06,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,14478944.04624138,14478944.046241378
751,Warner Bros.,R,95612731.03448276,9978947.396896552,2315,102,2000,10,2000-10-06,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22576490.444763526,327734164.70884544
752,DreamWorks Distribution,R,30066896.55172414,8063791.320689655,1516,126,2000,10,2000-10-13,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27090524.335353933,212188538.7610436
753,New Line Cinema,R,75167241.37931034,11958756.32075862,1970,97,2000,10,2000-10-13,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25279123.62210345,174160869.88729385
754,Focus Features,R,7516724.137931035,324242.9157586207,10,110,2000,10,2000-10-13,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33066464.862448275,33517076.043825015
755,Artisan Entertainment,R,34576931.03448276,7536067.675827586,1489,122,2000,10,2000-10-13,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,36969787.84040493,378271374.32814324
756,Paramount Pictures,R,36080275.862068966,8157735.3389655175,2022,84,2000,10,2000-10-13,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,150893651.7174419,296280364.6246253
757,Miramax,R,36080275.862068966,86200.28906896552,8,115,2000,10,2000-10-20,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1337002.7291034483,379114128.1114945
758,Twentieth Century Fox,PG-13,72160551.72413793,19703628.06972414,2568,93,2000,10,2000-10-20,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,226407887.48226207,193723005.87622088
759,Miramax,R,15033448.27586207,5780778.791931035,1342,102,2000,10,2000-10-20,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17371795.92103448,104401610.52715208
760,Warner Bros.,PG-13,60133793.10344828,14479253.735275863,2130,123,2000,10,2000-10-20,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117349963.14490014,492438809.57016146
761,New Line Cinema,PG,52617068.965517245,8598571.666172413,2009,95,2000,10,2000-10-27,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,44752759.80139527,63860833.86597505
762,Paramount Pictures,R,94710724.13793103,6820111.7284482755,2497,105,2000,10,2000-10-27,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,429430424.0957251,297463522.258129
763,Artisan Entertainment,R,22550172.413793102,19880062.122034483,3317,90,2000,10,2000-10-27,4,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39744068.521310344,134467661.4253213
764,Providence Entertainment,PG-13,902006.8965517242,119676.77168965517,173,106,2000,10,2000-10-31,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260979.15872413793,260979.158724138
765,Sony Pictures Entertainment (SPE),PG-13,139730763.92877656,60292397.27800115,3037,98,2000,11,2000-11-03,4,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,188269242.2296956,920090784.438854
766,DreamWorks Distribution,PG-13,120198506.60539919,17303644.792556003,2061,126,2000,11,2000-11-03,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,46455472.7385181,395523231.0267271
767,Warner Bros.,PG-13,120198506.60539919,13103584.43579552,2703,106,2000,11,2000-11-10,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26264710.90166571,253972642.82066566
768,New Line Cinema,PG-13,127710913.26823665,24135715.88815623,2910,90,2000,11,2000-11-10,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59295087.731476165,439430184.5651286
769,Twentieth Century Fox,R,48079402.64215968,20042297.148937393,2092,129,2000,11,2000-11-10,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,144263643.11512548,371435168.8621561
770,Miramax,PG-13,52586846.63986215,17163920.038552556,1918,106,2000,11,2000-11-17,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,55299258.15977025,180570325.37099993
771,Universal Pictures,PG,184805203.90580127,82760172.57932223,3127,104,2000,11,2000-11-17,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,536532157.15108734,951457185.5833064
772,Sony Pictures Entertainment (SPE),PG-13,123203469.27053417,19563633.641045377,2516,123,2000,11,2000-11-17,4,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,51992284.72693854,633958667.5296131
773,Paramount Pictures,G,45074439.9770247,34133647.36983343,2934,78,2000,11,2000-11-17,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,114951475.18662837,213904664.24315602
774,Walt Disney Studios Motion Pictures,PG-13,112686099.94256175,45571417.22987938,2708,106,2000,11,2000-11-22,2,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,602669008.6163633,788211762.5445848
775,Walt Disney Studios Motion Pictures,G,127710913.26823665,29874363.706387132,2704,100,2000,11,2000-11-22,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,369882910.27533716,246006331.60080463
776,Roxie Releasing,R,1503344.8275862068,27069.226965517242,4,88,2000,12,2000-12-01,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1171311.5789310345,168128488.97384498
777,Warner Bros.,R,97717413.79310346,15345947.061827587,2705,135,2000,12,2000-12-08,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49007434.30368966,504475152.52225107
778,Sony Pictures Classics,PG-13,25556862.068965517,997025.8063793103,16,120,2000,12,2000-12-08,4,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,206059146.20163018,209560016.0303256
779,New Line Cinema,PG-13,67650517.2413793,10880340.928758621,2078,107,2000,12,2000-12-08,4,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23139438.48586207,151504556.46753713
780,IFC Films,R,3006689.6551724137,9424.46872413793,2,110,2000,12,2000-12-08,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176599.42024137932,61060347.82876602
781,Sony Pictures Entertainment (SPE),PG-13,112750862.06896552,23313638.56775862,2307,124,2000,12,2000-12-08,4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254916607.42531013,527308451.54530126
782,Miramax,PG-13,37583620.68965517,236963.2251034483,8,121,2000,12,2000-12-15,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,196943280.04258353,417316023.2078643
783,Paramount Pictures,PG-13,105234137.93103449,50534249.35072414,3012,127,2000,12,2000-12-15,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,274829034.14065516,694351730.2512174
784,Twentieth Century Fox,PG-13,19543482.75862069,20815183.195103448,2087,83,2000,12,2000-12-15,4,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,70251003.12413794,94179429.99113914
785,Walt Disney Studios Motion Pictures,G,150334482.75862068,14751273.458413793,2801,78,2000,12,2000-12-15,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,134252732.591,226641405.9087334
786,New Line Cinema,PG-13,120267586.20689656,70158.0964137931,8,145,2000,12,2000-12-22,4,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,162025227.27355173,329359199.38926405
787,DreamWorks Distribution,R,21046827.586206898,13722.531586206896,8,103,2000,12,2000-12-22,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,586869049.3180932,202127374.9632404
788,Universal Pictures,PG-13,90200689.65517241,15867744.52137931,2388,125,2000,12,2000-12-22,4,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,339688841.3677805,346804065.8149663
789,Twentieth Century Fox,PG-13,135301034.4827586,43421719.01317242,2774,143,2000,12,2000-12-22,4,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2722563026.2921004,1153694897.986668
790,Miramax,R,81180620.68965517,12983738.327551724,2204,99,2000,12,2000-12-22,4,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49644605.962034486,128750966.09408693
791,Warner Bros.,PG-13,67650517.2413793,15103404.924068965,2668,109,2000,12,2000-12-22,4,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,285720045.765324,492165926.10232526
792,Miramax,PG-13,85690655.1724138,1961821.403,1483,116,2000,12,2000-12-25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,63678663.52223347,248830121.04550546
793,Warner Bros.,R,52286521.98743575,8612855.505162764,1275,124,2001,1,2001-01-19,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29479274.053672187,310953947.4982294
794,New Line Cinema,PG-13,40335316.96173615,8800831.527310109,2150,81,2001,1,2001-01-26,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19876498.742330097,146729303.30572245
795,Sony Pictures Entertainment (SPE),PG-13,52286521.98743575,20183035.20003427,2785,103,2001,1,2001-01-26,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,90232876.72296974,212695037.85103068
796,TriStar Pictures,R,20914608.7949743,165861.8111479155,47,106,2001,1,2001-01-26,4,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,888820.0811650485,36822136.247606575
797,Warner Bros.,R,43150614.33447099,14916197.230580203,2310,96,2001,2,2001-02-02,4,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,91205097.62474236,112813517.58502264
798,Universal Pictures,PG-13,20831331.058020476,7149007.788907849,2338,86,2001,2,2001-02-02,4,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,16524512.038286544,261236127.67080918
799,Sony Pictures Entertainment (SPE),PG-13,32734948.805460747,11028481.626075085,2467,90,2001,2,2001-02-09,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,351732815.87465036,257484073.29071328
800,Metro-Goldwyn-Mayer (MGM),R,129451843.00341296,86305872.56781569,3230,131,2001,2,2001-02-09,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1082364433.561159,692823216.5789891
801,Paramount Pictures,PG-13,72909658.70307167,25695272.7696587,2521,87,2001,2,2001-02-16,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,256442936.03653336,205673982.0641846
802,Walt Disney Studios Motion Pictures,G,34222901.02389078,14977538.060784983,2624,82,2001,2,2001-02-16,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,54616983.930955626,54616983.930955626
803,Twentieth Century Fox,PG-13,111596416.38225254,3995267.7667576787,1722,93,2001,2,2001-02-23,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8052795.918191126,267777945.46401933
804,Warner Bros.,R,92253037.54266211,10654513.107064845,2545,125,2001,2,2001-02-23,4,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,23435186.43423208,388971305.13395405
805,Focus Features,R,20041753.688989785,166333.19444948924,16,105,2001,3,2001-03-02,4,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1020190.5840408627,373501218.54497457
806,Warner Bros.,PG,51960102.15664019,14422791.210919412,2656,94,2001,3,2001-03-02,4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,49521653.1613621,376068545.2259829
807,DreamWorks Distribution,R,84620737.79795687,29853051.68829739,2951,123,2001,3,2001-03-02,4,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,199648538.0976556,847317098.2409276
808,Miramax,PG-13,32660635.64131669,6138680.781010216,1742,87,2001,3,2001-03-09,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,17186121.48721907,106548757.0493945
809,New Line Cinema,R,89074460.8399546,15622404.481430195,2337,120,2001,3,2001-03-09,4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36228887.282996595,244570738.49038824
810,Paramount Classics,PG-13,23753189.557321228,110961.54044267879,104,95,2001,3,2001-03-09,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,217034.3775595914,142112376.74501318
811,Warner Bros.,R,74228717.36662884,27443226.77101022,2830,101,2001,3,2001-03-16,4,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162362953.1514231,353888723.5351793
812,Newmarket Films,R,13361169.12599319,349599.44390465383,11,113,2001,3,2001-03-16,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,37923254.254222475,195756177.45946568
813,Paramount Pictures,R,100951055.61861522,20502366.633439276,1509,131,2001,3,2001-03-16,4,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,76309731.33459705,528633119.86930233
814,Metro-Goldwyn-Mayer (MGM),PG-13,51960102.15664019,17519941.390385926,2750,123,2001,3,2001-03-23,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,59882692.010635644,694715679.7300516
815,Screen Gems,R,8907446.083995461,15295340.876118049,1378,106,2001,3,2001-03-23,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40762565.045618616,87967068.64470819
816,Twentieth Century Fox,R,37114358.68331442,4248707.778354144,1974,95,2001,3,2001-03-23,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,222034806.1577549,298622877.8907918
817,Miramax,PG,51960102.15664019,39410818.53429058,3104,88,2001,3,2001-03-30,4,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,275403307.6207849,441111416.3091669
818,Sony Pictures Entertainment (SPE),R,31176061.29398411,2727264.027105562,199,109,2001,3,2001-03-30,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20382822.768694665,299955509.9976282
819,Revolution Studios,R,16330317.820658345,9510296.096662885,2617,95,2001,3,2001-03-30,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20128956.101577755,170190674.28434497
820,Twentieth Century Fox,PG-13,34145209.988649264,14861479.961407494,2345,97,2001,3,2001-03-30,4,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,40592815.84559592,301950444.72607
821,Paramount Pictures,R,88721989.82475974,24712633.396687392,2530,104,2001,4,2001-04-06,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109539383.33107969,763868009.6978873
822,Warner Bros.,G,23659197.286602598,12185598.584872808,2675,93,2001,4,2001-04-06,4,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,224725725.84359986,147181938.93903324
823,New Line Cinema,R,78371091.01187111,18400143.67044658,2249,124,2001,4,2001-04-06,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,179646237.74202904,190085735.09036216
824,Walt Disney Studios Motion Pictures,PG-13,51754494.064443186,3360329.098914641,1590,88,2001,4,2001-04-06,4,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7070460.908411532,82289708.31146008
825,Universal Pictures,PG-13,57669293.38609383,6746501.434765403,2556,98,2001,4,2001-04-11,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,21102547.46031656,47824529.91740275
826,Fox Searchlight Pictures,PG,10350898.812888637,11182348.06833239,1111,94,2001,4,2001-04-11,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,71386514.08087751,126725260.25554334
827,Sony Pictures Entertainment (SPE),PG-13,26172986.998304125,11853269.670186546,2638,91,2001,4,2001-04-11,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,40054570.002769925,133181702.55921185
828,Miramax,R,36967495.76031656,15872264.90676088,1611,97,2001,4,2001-04-13,4,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,105791253.37204069,276309619.64423937
829,Twentieth Century Fox,R,20701797.625777274,10496490.119491236,2271,87,2001,4,2001-04-20,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,21078855.73163369,67959368.09620436
830,Warner Bros.,PG-13,138997784.05879027,18002437.00015828,2905,116,2001,4,2001-04-27,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,625314761.81004,210854976.72878584
